id,commit,Build,BuildTest,ExecuteTest,HasTestReport,State,parents
0,21a2e4b7d680bf796f07d5d3b6119a3cd3fc356c,True,True,True,True,TestSuccess,['ae85620b0834bd978f8ab080b07150ee8034f8ad']
1,ae85620b0834bd978f8ab080b07150ee8034f8ad,True,True,False,True,TestFail,['b5dc929fe88346304f8ba66c8f320dc4db63bffb']
2,b5dc929fe88346304f8ba66c8f320dc4db63bffb,True,True,False,True,TestFail,['a8a1d46b9e655a46a484a3acb3e4c7ff482c0459']
3,a8a1d46b9e655a46a484a3acb3e4c7ff482c0459,True,True,False,True,TestFail,['83e514792c9cadaeaffceed47fd1c5ad4715fda1']
4,83e514792c9cadaeaffceed47fd1c5ad4715fda1,True,True,False,True,TestFail,['036fe28403a39ac4e50e0bfb0cc5366a5a8fec0a']
5,036fe28403a39ac4e50e0bfb0cc5366a5a8fec0a,True,True,False,True,TestFail,['f686856746ddba44d9b86167aa54337b6c1798af']
6,f686856746ddba44d9b86167aa54337b6c1798af,True,True,False,True,TestFail,"['fe302a9a9bcde6880c36a69cbbf6938cd27f3c10', '3f8b824f1347e7b94c47f855a53b16f3b411f574']"
7,fe302a9a9bcde6880c36a69cbbf6938cd27f3c10,True,True,False,True,TestFail,['dbf0c6f4c93d922a2ebb4d744661e7090fef2aac']
8,3f8b824f1347e7b94c47f855a53b16f3b411f574,True,True,False,True,TestFail,"['dbf0c6f4c93d922a2ebb4d744661e7090fef2aac', '8dc5a34b2cceacb6149507408db6343db5bdc07d']"
9,8dc5a34b2cceacb6149507408db6343db5bdc07d,True,True,False,True,TestFail,['dbf0c6f4c93d922a2ebb4d744661e7090fef2aac']
10,dbf0c6f4c93d922a2ebb4d744661e7090fef2aac,True,True,False,True,TestFail,['d5e12f74d2224574ef1e220decc514073303ac5c']
11,d5e12f74d2224574ef1e220decc514073303ac5c,True,True,False,True,TestFail,['3ae37ed44dfe947ccbb615929b88ca28dd250e3a']
12,3ae37ed44dfe947ccbb615929b88ca28dd250e3a,True,True,False,True,TestFail,"['0d31cca5b5f7b8d952a4e9f4f505e63ab1430f11', 'ad4dfdf0136e288ecf91dc5f30a3b950c51c6525']"
13,0d31cca5b5f7b8d952a4e9f4f505e63ab1430f11,True,True,False,True,TestFail,['b8b3c7404a36dcbbfc934d281097dd61632b1d68']
14,ad4dfdf0136e288ecf91dc5f30a3b950c51c6525,True,True,False,True,TestFail,['ef002240171efb0ff92fd497f0fd050c09f6001b']
15,ef002240171efb0ff92fd497f0fd050c09f6001b,True,True,False,True,TestFail,"['a2f43085f141df476c975e62a415004818a6aff4', '034f3c0f7ffe5eb1dfcc132133a26159c5715301']"
16,034f3c0f7ffe5eb1dfcc132133a26159c5715301,True,True,True,True,TestSuccess,['386e9f7ba59a28602e12c7ac2689590998c237c4']
17,a2f43085f141df476c975e62a415004818a6aff4,True,True,False,True,TestFail,['b8b3c7404a36dcbbfc934d281097dd61632b1d68']
18,b8b3c7404a36dcbbfc934d281097dd61632b1d68,True,True,False,True,TestFail,['50791cc7856376949287e0be3e96147665ab8f68']
19,50791cc7856376949287e0be3e96147665ab8f68,True,True,False,True,TestFail,['aaee7bd21d93bca1c79ad7167d768c872e23eff4']
20,aaee7bd21d93bca1c79ad7167d768c872e23eff4,True,True,False,True,TestFail,['df0408c8387ea5df95ab78185334a92a38225fc5']
21,df0408c8387ea5df95ab78185334a92a38225fc5,False,False,False,False,BuildError,"['290f9a627c34589cd7811b7bd31f6778618f197b', '386e9f7ba59a28602e12c7ac2689590998c237c4']"
22,386e9f7ba59a28602e12c7ac2689590998c237c4,True,True,True,True,TestSuccess,"['871607268f3452e0c763b944a28fef6228fcc4d1', '70d961bfb281498489eeb7d318bc5c96fa7f92e6']"
23,70d961bfb281498489eeb7d318bc5c96fa7f92e6,True,True,True,True,TestSuccess,['cecd409aa97693beb87c4e9ca34ea7f734676216']
24,290f9a627c34589cd7811b7bd31f6778618f197b,False,False,False,False,BuildError,"['86c365221d44d2b1f684fc488f5964f07a962f97', '871607268f3452e0c763b944a28fef6228fcc4d1']"
25,871607268f3452e0c763b944a28fef6228fcc4d1,True,True,True,True,TestSuccess,['3aee590e9f546ad5cc59c9a75367e410bcea84ea']
