idx,project,bug_id,BFC,FFC,FFC_parent_error,FFC_parent_log
0,Math,95,https://github.com/Maes95/commons-math/commit/fbf87122e0f7229892b6dbbf2e211cc46acea008,https://github.com/Maes95/commons-math/commit/5145f82217496e6e32ca70d525f69c33260ffd9c,package junit.swingui does not exist,0-Math-Bug_95.log
1,Closure,136,https://github.com/google/closure-compiler/commit/938f48a60c544f6b7bdb5d49006f654a51ca9a22,https://github.com/google/closure-compiler/commit/6b49cfd9022fe111bdad745c78ea877fbc2f7ba3,<Check file log file>,1-Closure-Bug_136.log
2,Math,35,https://github.com/Maes95/commons-math/commit/a5d8d115cb85149c62059a23e8f4d318cac0e903,https://github.com/Maes95/commons-math/commit/2d698e4905cb75bd125e2fe1f5223d7e68f0adcd,package org.apache.commons.math3.exception does not exist,2-Math-Bug_35.log
3,Lang,44,https://github.com/apache/commons-lang/commit/81f10d7f1ef52d44f43b38d81ac3dc1c83d45134,https://github.com/apache/commons-lang/commit/40da7fe508aa1d3fe08d96e502c896d6d8a7fd48,unmappable character for encoding ASCII,3-Lang-Bug_44.log
4,Mockito,2,https://github.com/mockito/mockito/commit/80452c7a42777513c35fd30c4e12bcd7ee438fb9,https://github.com/mockito/mockito/commit/7cf6470d88491fe472e28493b50eba8a6fbf0433,FFC is first commit,
5,Closure,69,https://github.com/google/closure-compiler/commit/63df133d0850805818d1e280ba47dcefc9763c89,https://github.com/google/closure-compiler/commit/c25df7eca2462861bf42ad8b74215099c3f81ae6,"no suitable method found for init(ArrayList<JSSourceFile>,ArrayList<JSSourceFile>,CompilerOptions)",5-Closure-Bug_69.log
6,Lang,21,https://github.com/apache/commons-lang/commit/55f642725742513824975af0e5e91cb1920b6d72,https://github.com/apache/commons-lang/commit/483f81c04062a9d9bc52b36aba68908d1387b629,cannot find symbol,6-Lang-Bug_21.log
7,Cli,11,https://github.com/apache/commons-cli/commit/d36adebd3547279b709960c902c3fb7b89a9a4ef,https://github.com/apache/commons-cli/commit/df8f8e160c5fc9b955c627c4b65c7ba67088b7ac,cannot find symbol,7-Cli-Bug_11.log
8,JacksonCore,15,https://github.com/FasterXML/jackson-core/commit/ecf088c391de0deb5a4297e51e9ce960b3924e09,https://github.com/FasterXML/jackson-core/commit/e183d16b2f03c06217f221f57ac35b6001d74d3f,<Check file log file>,8-JacksonCore-Bug_15.log
9,JacksonDatabind,32,https://github.com/FasterXML/jackson-databind/commit/d5a25f4300a93f4c411a7b8364d34122bc0a1b62,https://github.com/FasterXML/jackson-databind/commit/4bca471c98e846b74b0de97b6ffa43f27e31d44b,<Check file log file>,9-JacksonDatabind-Bug_32.log
10,Cli,16,https://github.com/apache/commons-cli/commit/f104dd060c6c88450ac9ee9eb818b26374512440,https://github.com/apache/commons-cli/commit/a8a8ec06a85a1090d560dc6cf236663da580863e,"as of release 5, 'enum' is a keyword, and may not be used as an identifier",10-Cli-Bug_16.log
11,Lang,37,https://github.com/apache/commons-lang/commit/ea140fb5c327e2b58f6c5bf1057c7dede909a50c,https://github.com/apache/commons-lang/commit/ebee3bf4348b95eac301489818239cc4596e58bd,cannot find symbol,11-Lang-Bug_37.log
