idx,project,bug_id,BFC,FFC,comment,isBugRelated,isRefactoringRelated,isAddRelated,isTestRelated
1,Jsoup,90,https://github.com/jhy/jsoup/commit/7de614ffd01161d8718d7458bab9d9690ad2334f,https://github.com/jhy/jsoup/commit/1933e9727c694863d6b7a9bb98682b560510d212,Make HttpConnection constructor public,0,0,0,0
2,Lang,5,https://github.com/apache/commons-lang/commit/75944e541d358d5b06ebbba3098a919fbf2539d4,https://github.com/apache/commons-lang/commit/16ba0ea9cfe6a88eb127dfa92c948ef35068d5b5,Restored Ant build.,0,1,0,0
3,Jsoup,39,https://github.com/jhy/jsoup/commit/3f9f33d88355f22aefc7ea402da09fd1950289ce,https://github.com/jhy/jsoup/commit/433d2f180058b8b73e1951c6cfbb986714e68b0f,Allow an alternate parser to be supplied for core use cases.,0,1,0,0
4,JacksonDatabind,20,https://github.com/FasterXML/jackson-databind/commit/6456a9ac0bee09e2ae45ae56739102a8071f217a,https://github.com/FasterXML/jackson-databind/commit/f339b5c62d6012efe74ee3997cafeaba79e7a7a1,Implement #461,0,0,1,0
5,Jsoup,37,https://github.com/jhy/jsoup/commit/c07ba8a34b6a6d6665928e106fea67bd9144e4e0,https://github.com/jhy/jsoup/commit/3982ea1198b8d780b42587e16ace3407bf7621e1,Tweaked koz's changes in merge prep.,0,1,0,0
6,Closure,44,https://github.com/google/closure-compiler/commit/64bb2291f9a9bbab67d865dffe603f8a0df8ef30,https://github.com/google/closure-compiler/commit/4d98fc9034031ee146c7e5534a150e2700d89f8e,Add basic Node type helpers to Node,0,0,1,0
7,Closure,110,https://github.com/google/closure-compiler/commit/13fb7fcbcad87f8df63535491627bf7b01471064,https://github.com/google/closure-compiler/commit/73e29a45d42249f9e30a0699bba8411ab14be6df,Fix a bug in ScopedAliases.,2,0,0,0
8,JacksonDatabind,50,https://github.com/FasterXML/jackson-databind/commit/567d6c09a868175626a0b404dc1a8f128f7746f2,https://github.com/FasterXML/jackson-databind/commit/3fdbf62dfe38c1a17521abfeae615593f228123d,...,0,0,0,0
9,Math,69,https://github.com/Maes95/commons-math/commit/a2711c189d9754c22e3aba2de1c6c125e52626aa,https://github.com/Maes95/commons-math/commit/53e1621021576b5e0f3d66926fbfcf6d28ee0753,updated ant build.xml according to new maven-compliant standard directory layout,0,1,1,0
10,Math,39,https://github.com/Maes95/commons-math/commit/74e00296574dc3ac0bc064fc3258faabaf732d6c,https://github.com/Maes95/commons-math/commit/ba6f30842261c030087a24feddd9b1247a18aef3,Added init methods to StepHandler and EventHandler interfaces.,0,0,1,0
11,JacksonDatabind,33,https://github.com/FasterXML/jackson-databind/commit/660ec8f8c081646413d14adf41d55bbd4362a5a8,https://github.com/FasterXML/jackson-databind/commit/ae465badef2cf1ebf1c149c9030258bad8bca080,...,0,0,0,0
